Русский;Немецкий
Ты знаешь ответ на этот вопрос?;Weißt du die Antwort auf diese Frage?
Мы не понимаем эту задачу.;Wir verstehen diese Aufgabe nicht.
Он объяснил мне правило.;Er hat mir die Regel erklärt.
Она помогает своей матери каждый день.;Sie hilft ihrer Mutter jeden Tag.
Спасибо, что помог мне.;Danke, dass du mir geholfen hast.
Мы встретили наших друзей в центре.;Wir haben unsere Freunde im Zentrum getroffen.
Я встречаюсь с ним каждую пятницу.;Ich treffe mich jeden Freitag mit ihm.
Он остался дома из-за дождя.;Er ist wegen des Regens zu Hause geblieben.
Мы остаемся здесь до понедельника.;Wir bleiben bis Montag hier.
Что произошло вчера вечером?;Was ist gestern Abend passiert?
Со мной ничего не произошло.;Mir ist nichts passiert.
Я хотел бы заказать кофе.;Ich würde gern einen Kaffee bestellen.
Не могли бы вы говорить медленнее?;Könnten Sie bitte langsamer sprechen?
Я должен закончить эту работу сегодня.;Ich muss diese Arbeit heute beenden.
Она хочет стать врачом.;Sie möchte Ärztin werden.
Мы собираемся поехать в Берлин летом.;Wir werden im Sommer nach Berlin fahren.
Он никогда не опаздывает.;Er kommt nie zu spät.
Когда начинается фильм?;Wann fängt der Film an?
Поезд отправляется через десять минут.;Der Zug fährt in zehn Minuten ab.
Я встаю в семь часов.;Ich stehe um sieben Uhr auf.
Она включает компьютер.;Sie macht den Computer an.
Пожалуйста, выключи свет.;Mach bitte das Licht aus.
Мы приглашаем друзей на ужин.;Wir laden Freunde zum Abendessen ein.
Он сегодня не приходит.;Er kommt heute nicht mit.
Я записываю новые слова.;Ich schreibe neue Wörter auf.
Она читает книгу, которую я ей дал.;Sie liest das Buch, das ich ihr gegeben habe.
Это человек, который помогает мне.;Das ist der Mensch, der mir hilft.
Я знаю женщину, которая работает здесь.;Ich kenne die Frau, die hier arbeitet.
Мы останемся дома, если будет дождь.;Wir bleiben zu Hause, wenn es regnet.
Если у тебя будет время, позвони мне.;Wenn du Zeit hast, ruf mich an.
Хотя было поздно, мы продолжили работать.;Obwohl es spät war, haben wir weitergearbeitet.
Я остался дома, потому что заболел.;Ich bin zu Hause geblieben, weil ich krank geworden bin.
Она улыбается, хотя устала.;Sie lächelt, obwohl sie müde ist.
Я думаю, что он скоро придет.;Ich denke, dass er bald kommt.
Он сказал, что уже закончил.;Er sagte, dass er schon fertig war.
Перед тем как уйти, закрой окно.;Bevor du gehst, schließ das Fenster.
После того как мы поели, мы пошли гулять.;Nachdem wir gegessen hatten, gingen wir spazieren.
Я учу немецкий, чтобы работать в Германии.;Ich lerne Deutsch, um in Deutschland zu arbeiten.
Он слишком устал, чтобы идти дальше.;Er ist zu müde, um weiterzugehen.
Эта книга была написана известным автором.;Dieses Buch wurde von einem bekannten Autor geschrieben.
Дом строится уже два года.;Das Haus wird seit zwei Jahren gebaut.
Мне нужно принять важное решение.;Ich muss eine wichtige Entscheidung treffen.
Она приняла правильное решение.;Sie hat die richtige Entscheidung getroffen.
Мы привыкли рано вставать.;Wir sind es gewohnt, früh aufzustehen.
Чем больше ты читаешь, тем быстрее учишься.;Je mehr du liest, desto schneller lernst du.
